delivery_id,order_id,partner_id,delivery_time,delivery_date
83,1430,97,17:38:24,2024-01-17
84,9950,109,23:56:43,2023-07-11
85,833,72,08:49:50,2023-12-10
86,794,454,19:23:15,2024-09-21
87,7471,112,08:07:59,2024-05-14
88,1302,189,13:04:29,2024-04-12
89,5370,197,21:34:27,2024-05-15
90,9822,118,13:29:12,2024-07-21
91,7176,376,07:03:49,2023-07-13
92,5685,20,21:25:27,2024-01-21
93,2446,183,15:05:13,2024-06-24
94,4748,71,14:59:39,2024-09-01
95,9861,401,20:47:12,2024-12-24
96,931,471,16:34:18,2023-02-28
97,4441,158,23:05:25,2024-07-16
98,7016,455,05:59:48,2024-09-06
99,9508,33,17:07:13,2023-06-19
100,8412,86,13:00:53,2023-08-19
101,259,126,18:53:16,2024-12-05
102,2205,289,13:40:03,2024-12-23
103,7951,82,07:51:20,2024-07-25
104,2298,226,00:26:24,2023-11-01
105,8664,37,00:55:16,2024-05-30
106,2316,66,05:55:29,2023-09-14
107,3443,352,04:38:15,2024-10-26
108,2328,461,09:14:01,2023-03-09
109,1457,187,07:24:10,2024-04-12
110,7219,380,23:13:13,2023-06-16
111,8370,170,09:56:41,2023-04-23
112,3544,307,17:41:43,2023-06-07
113,6821,186,01:38:12,2023-11-23
114,5894,241,22:17:09,2024-09-13
115,5794,426,00:32:25,2023-08-28
116,7751,356,10:31:31,2024-12-11
117,9018,276,12:12:17,2024-07-13
118,53,189,07:53:34,2023-05-07
119,2873,45,03:19:39,2023-06-11
120,6004,388,22:20:25,2024-09-22
121,7403,165,01:18:57,2023-04-26
122,5901,144,05:08:48,2023-06-02
123,7844,211,03:43:43,2024-10-28
124,9709,284,13:15:51,2024-07-14
125,9289,110,22:49:02,2023-01-10
126,3292,490,06:03:40,2023-12-13
127,8374,187,12:01:27,2023-09-03
128,1650,435,07:09:30,2024-10-06
129,5300,391,04:51:49,2024-05-12
130,3271,255,13:33:47,2023-07-05
131,3358,10,04:41:01,2024-11-09
132,599,17,14:43:00,2024-08-09
133,910,342,13:09:34,2024-11-04
134,4304,403,21:21:26,2023-02-10
135,7666,96,12:14:45,2023-03-17
136,9655,294,22:33:50,2024-02-03
137,2315,170,10:39:45,2024-05-23
138,6235,445,06:10:33,2024-09-23
139,1244,395,16:38:50,2023-01-16
140,8713,342,23:17:56,2023-04-08
141,2990,476,08:12:20,2023-07-21
142,1087,488,16:32:32,2024-10-02
143,8727,478,07:34:36,2023-08-30
144,7615,167,19:16:57,2023-05-11
145,7415,189,18:17:59,2023-10-25
146,8420,34,07:50:28,2024-11-06
147,3345,257,10:33:22,2023-10-18
148,9528,458,00:20:29,2024-09-26
149,8731,239,12:03:06,2024-06-10
150,7826,445,00:51:58,2024-10-13
151,6018,391,16:34:07,2024-11-09
152,1171,360,09:06:42,2024-11-07
153,5020,459,10:17:13,2023-03-05
154,5988,440,19:52:50,2024-08-03
155,7235,77,15:21:28,2024-10-01
156,9957,390,10:44:26,2024-08-22
157,5425,203,10:43:01,2023-07-03
158,8056,211,23:52:53,2024-09-06
159,6202,160,01:57:19,2024-04-15
160,6883,318,15:38:23,2024-08-01
161,382,412,12:17:13,2023-09-11
162,8019,65,04:15:16,2023-10-20
163,3516,402,00:14:35,2023-04-03
164,8553,272,15:00:05,2023-11-02
165,3608,450,01:05:16,2024-08-02
166,3911,74,21:48:27,2023-09-03
167,1570,402,17:28:39,2023-04-20
168,7778,9,21:46:53,2023-12-14
169,9938,27,18:21:21,2024-02-21
170,9998,109,20:41:57,2024-05-17
171,2907,8,07:28:46,2023-02-04
172,9026,431,06:05:04,2024-09-26
173,552,379,09:17:30,2023-02-11
174,6882,110,23:06:55,2023-02-22
175,9477,320,11:44:31,2024-12-03
176,2051,450,03:38:09,2024-12-21
177,8852,375,01:42:31,2023-10-12
178,8934,27,16:36:46,2024-06-28
179,1791,295,23:24:31,2024-10-04
180,8201,301,11:58:07,2023-08-07
181,6784,80,12:31:07,2024-01-26
182,9321,130,12:32:33,2023-11-28
183,2528,355,20:31:01,2024-05-06
184,133,309,03:07:56,2023-02-11
185,9234,89,23:59:01,2023-01-23
186,5998,88,06:20:18,2023-01-13
187,1331,8,13:17:44,2024-02-27
188,311,326,01:51:18,2024-06-24
189,4360,115,18:58:26,2023-09-20
190,9160,7,21:58:40,2023-10-09
191,4734,170,22:48:32,2023-06-07
192,8972,419,17:44:13,2024-06-18
193,4405,284,00:37:42,2023-05-06
194,8637,205,02:44:08,2024-12-15
195,1064,93,11:29:05,2023-05-26
196,4164,24,03:30:15,2024-04-21
197,7681,219,18:45:46,2023-06-18
198,2070,389,17:33:21,2024-02-08
199,4854,37,21:58:06,2024-08-27
200,9787,266,13:08:50,2024-09-25
201,721,200,22:18:50,2023-11-09
202,8312,143,00:10:47,2024-10-21
203,4513,222,16:45:15,2023-07-22
204,7289,307,01:50:37,2024-03-20
205,6411,266,18:07:16,2024-07-02
206,2212,50,00:36:08,2024-06-25
207,6144,339,06:57:38,2023-06-28
208,6375,414,22:21:30,2024-09-23
209,8075,465,02:38:58,2023-10-06
210,1302,199,09:26:22,2024-10-14
211,7734,235,13:29:26,2024-11-21
212,1293,390,07:21:53,2023-11-21
213,3575,478,10:57:58,2024-09-04
214,2493,490,01:44:29,2024-08-19
215,2726,119,01:29:49,2024-08-27
216,8949,98,06:43:14,2023-11-27
217,4323,34,19:14:15,2023-07-19
218,7562,303,16:56:24,2024-05-13
219,6096,176,09:34:26,2024-02-02
220,5372,97,13:59:36,2023-09-01
221,6117,391,02:10:43,2023-10-04
222,1482,202,15:38:11,2023-04-19
223,2873,257,10:59:15,2023-07-07
224,7972,155,10:16:04,2023-07-21
225,7876,495,06:41:51,2023-11-29
226,3789,28,07:54:41,2023-07-08
227,8448,69,16:04:46,2024-04-13
228,6118,127,13:58:26,2023-10-07
229,5683,41,11:30:20,2024-06-10
230,3922,133,17:58:36,2024-06-08
231,7473,216,14:26:47,2024-04-02
232,8429,220,08:44:33,2023-02-17
233,4890,240,11:06:24,2024-10-30
234,7109,391,07:40:12,2024-11-05
235,7116,482,20:53:12,2024-03-31
236,1675,192,05:22:33,2024-10-17
237,9394,420,14:24:05,2024-01-15
238,2718,401,22:17:33,2024-12-21
239,4694,316,23:33:40,2024-06-30
240,3596,125,19:44:29,2023-01-24
241,9060,220,12:09:33,2023-08-31
242,8212,92,21:30:32,2023-09-08
243,2013,409,21:13:08,2024-01-30
244,6801,124,14:15:14,2024-12-16
245,8354,92,09:03:40,2023-11-10
246,9674,353,13:37:52,2023-07-30
247,6102,36,09:44:10,2024-03-26
248,6891,126,13:20:35,2024-06-08
249,973,484,01:43:17,2024-11-04
250,8379,237,13:10:24,2024-05-22
251,1124,395,09:40:09,2024-10-03
252,7940,165,01:35:56,2023-04-10
253,4480,175,06:31:56,2024-12-08
254,8949,232,14:38:37,2023-03-22
255,3032,90,18:23:03,2024-10-07
256,4406,130,00:15:24,2023-01-14
257,1873,196,01:55:27,2024-02-20
258,7029,326,07:45:59,2023-11-28
259,694,82,16:17:05,2023-08-25
260,8177,433,03:22:05,2024-01-08
261,8094,273,07:37:34,2024-02-07
262,8729,136,05:02:38,2023-06-26
263,3291,188,08:00:03,2024-04-17
264,3927,356,03:21:52,2024-03-02
265,2907,240,17:42:29,2023-11-14
266,26,5,21:52:45,2024-02-17
267,3007,162,09:52:18,2023-02-14
268,962,129,12:44:29,2024-07-27
269,4762,390,13:02:36,2023-10-20
270,6026,270,00:21:10,2024-01-11
271,3766,318,22:39:20,2024-11-18
272,3252,27,19:52:53,2023-05-03
273,3451,332,02:01:36,2024-10-16
274,7381,459,18:29:08,2024-09-07
275,9085,271,23:51:41,2024-01-30
276,6008,349,05:51:27,2024-09-14
277,2677,327,16:35:39,2023-09-04
278,5015,449,22:30:20,2023-02-19
279,7320,293,17:47:30,2023-12-19
280,3413,282,16:58:27,2023-03-10
281,1063,235,16:16:30,2023-08-17
282,1315,418,18:19:34,2023-08-20
283,9940,305,16:03:05,2024-01-15
284,8012,39,07:58:00,2023-05-12
285,218,319,14:37:31,2024-08-12
286,8273,473,05:23:33,2023-03-10
287,2207,241,18:48:11,2024-10-19
288,4585,268,06:58:27,2023-05-18
289,6987,404,22:55:14,2023-08-30
290,2314,283,00:37:25,2024-09-25
291,9965,74,15:05:26,2024-03-17
292,2967,408,02:38:38,2023-01-05
293,9361,4,04:44:37,2024-06-05
294,4088,400,12:58:09,2023-12-21
295,9496,139,04:35:39,2023-01-31
296,1276,185,12:15:21,2024-12-01
297,6385,104,02:26:08,2023-03-25
298,9397,292,22:00:15,2024-08-02
299,1397,449,04:53:18,2024-08-25
300,7513,292,23:53:16,2023-05-18
301,3749,352,20:05:06,2024-09-02
302,5606,231,23:49:09,2024-09-12
303,9966,458,22:37:19,2024-02-28
304,1015,20,20:33:25,2024-05-11
305,6082,209,19:55:48,2023-03-22
306,5389,142,14:31:30,2023-07-24
307,3612,172,11:23:27,2024-10-11
308,2238,364,21:44:23,2024-11-16
309,4623,310,08:26:04,2023-01-08
310,9234,371,11:51:16,2024-02-23
311,6841,29,04:45:58,2024-10-15
312,3639,375,09:10:16,2023-12-04
313,5493,119,13:27:43,2024-08-02
314,7267,134,16:17:39,2024-06-18
315,9858,190,08:11:24,2023-04-09
316,2601,341,18:37:35,2023-02-08
317,1995,166,01:16:20,2023-07-16
318,5901,107,09:19:07,2024-12-06
319,6340,412,03:16:44,2024-08-20
320,7731,199,02:37:58,2024-09-04
321,9675,231,09:45:57,2023-07-07
322,5251,285,00:19:00,2023-11-02
323,6335,459,21:01:38,2024-10-07
324,8350,23,19:04:57,2023-09-19
325,6285,315,10:07:01,2023-11-08
326,6976,496,04:26:40,2023-10-29
327,5248,309,20:09:06,2024-01-09
328,4749,473,22:47:39,2023-10-23
329,1816,202,02:25:15,2023-03-24
330,9891,160,22:31:18,2024-10-15
331,6154,122,00:00:32,2024-10-25
332,3499,474,20:32:45,2024-05-22
333,8474,40,11:48:28,2024-07-23
334,9001,469,16:39:55,2024-04-08
335,1998,233,14:36:47,2023-04-24
336,3459,103,19:21:22,2023-02-14
337,3559,115,00:02:45,2023-12-15
338,5116,216,12:33:29,2024-08-08
339,8048,305,06:38:38,2024-07-10
340,1947,203,03:29:40,2023-07-14
341,9586,119,15:14:42,2024-05-10
342,1590,477,03:43:15,2023-09-14
343,1831,245,09:17:05,2023-06-16
344,5256,457,16:49:17,2024-10-22
345,8546,96,05:54:03,2023-01-03
346,2173,245,13:07:50,2023-05-31
347,9660,281,04:04:35,2023-12-16
348,1915,21,18:16:16,2023-11-15
349,5792,267,19:41:10,2023-12-05
350,4789,297,13:07:53,2023-10-31
351,3900,469,03:54:04,2024-04-07
352,4338,397,12:31:06,2023-10-09
353,5968,197,15:50:40,2024-09-24
354,8080,93,00:40:32,2023-12-06
355,3049,387,23:10:05,2023-10-28
356,3914,178,16:05:36,2023-02-13
357,811,312,01:30:52,2024-10-18
358,4909,27,22:14:10,2024-12-07
359,573,393,23:46:29,2023-05-11
360,8095,251,16:56:39,2023-04-19
361,386,110,02:49:07,2023-11-27
362,4260,388,12:19:14,2024-02-10
363,7169,32,07:51:37,2023-12-18
364,8455,52,08:38:33,2023-01-22
365,5294,141,21:02:14,2023-12-25
366,2902,56,05:35:52,2024-05-20
367,5928,310,19:56:32,2023-06-19
368,1577,148,01:42:29,2023-11-28
369,1724,245,04:15:14,2024-09-23
370,3724,346,23:27:28,2023-07-11
371,7663,443,21:21:57,2024-06-21
372,5983,428,21:53:00,2024-05-25
373,868,488,10:40:33,2024-09-24
374,9756,324,22:01:25,2023-10-01
375,4256,180,20:36:18,2023-08-19
376,6537,107,19:51:31,2023-12-01
377,8739,386,22:12:30,2023-07-14
378,2200,206,03:19:01,2023-07-19
379,7493,181,04:37:40,2024-12-12
380,3676,191,22:37:21,2024-04-09
381,7066,225,00:50:24,2023-03-25
382,7902,478,19:41:42,2023-08-29
383,8137,88,08:15:28,2023-01-25
384,4846,224,04:09:51,2024-08-12
385,9499,190,22:08:17,2023-04-05
386,9427,146,04:18:33,2024-05-17
387,2812,261,03:42:16,2023-01-26
388,8045,467,17:03:04,2024-02-07
389,9717,463,15:38:11,2023-03-21
390,59,102,14:45:51,2023-11-14
391,4061,442,10:53:57,2024-11-10
392,1642,428,20:25:31,2024-06-17
393,6857,476,16:25:49,2024-11-28
394,670,367,04:04:06,2023-09-07
395,3166,286,03:38:59,2023-10-09
396,2537,363,23:54:43,2023-03-15
397,6085,402,07:07:31,2023-08-23
398,3681,167,10:45:16,2023-08-11
399,7930,152,11:07:46,2023-07-20
400,9366,341,21:32:18,2024-10-28
401,9064,388,15:39:03,2024-04-07
402,4877,5,12:01:19,2023-03-05
403,4900,329,23:42:02,2023-05-21
404,7132,33,04:09:05,2024-12-23
405,4164,221,12:03:51,2024-11-19
406,6201,300,17:48:21,2024-05-12
407,7875,13,23:48:42,2023-08-11
408,9139,3,13:35:45,2023-12-10
409,1580,29,12:27:08,2024-07-03
410,2670,222,19:07:34,2024-10-05
411,6690,494,03:41:22,2024-11-18
412,6813,296,04:52:47,2024-12-02
413,3308,13,06:28:50,2023-07-07
414,9397,63,09:05:00,2024-03-09
415,5775,385,07:22:07,2024-05-07
416,7001,411,03:34:49,2024-09-17
417,4213,221,13:48:15,2023-05-31
418,2078,272,01:54:32,2024-03-02
419,6323,241,04:06:43,2023-11-13
420,7168,30,00:04:51,2024-05-20
421,9466,249,23:23:22,2023-02-07
422,934,484,11:56:11,2024-06-02
423,5653,211,06:54:29,2024-04-19
424,3783,389,02:38:14,2024-03-24
425,7438,14,14:45:20,2023-12-10
426,7180,294,18:07:00,2024-01-25
427,5106,426,12:55:54,2023-05-17
428,8840,423,03:30:42,2023-02-06
429,3474,196,13:58:06,2023-09-03
430,466,298,11:09:19,2023-09-12
431,9996,326,08:52:48,2024-06-15
432,547,451,12:06:38,2024-09-28
433,2157,1,09:39:33,2024-07-12
434,2911,26,17:47:14,2023-08-16
435,1834,417,03:30:33,2023-06-08
436,8370,437,12:27:31,2023-06-05
437,6778,45,17:29:34,2023-04-06
438,6278,229,13:58:49,2024-07-21
439,1792,111,06:00:44,2024-07-16
440,8211,332,01:52:36,2023-09-26
441,767,426,00:46:00,2023-08-02
442,5269,423,20:56:28,2023-02-09
443,5701,411,22:22:39,2024-07-06
444,6033,238,22:17:57,2023-06-22
445,5521,177,23:57:36,2023-11-17
446,2334,117,23:43:23,2024-11-25
447,7764,368,05:37:28,2024-05-03
448,7936,489,17:16:21,2024-04-24
449,9704,36,09:47:57,2024-09-23
450,8230,45,06:50:15,2024-11-24
451,3668,70,11:41:40,2023-12-23
452,4495,465,02:09:45,2023-10-05
453,5382,262,16:44:09,2023-07-17
454,9395,170,02:59:45,2023-09-08
455,3018,322,10:35:13,2023-12-21
456,409,383,16:07:12,2024-03-13
457,8443,238,03:05:37,2023-10-15
458,4617,418,08:15:36,2023-07-11
459,1587,40,00:19:00,2024-05-27
460,9199,204,21:28:13,2023-06-28
461,3233,196,08:50:03,2024-11-07
462,7312,103,05:56:17,2024-09-19
463,8724,318,01:59:53,2023-04-10
464,9241,342,22:17:23,2024-12-10
465,9172,21,12:22:36,2023-12-24
466,7089,463,12:35:22,2024-08-19
467,8167,147,16:45:54,2024-08-12
468,1417,349,21:48:55,2024-06-13
469,8340,421,12:25:08,2024-02-29
470,3171,329,18:45:26,2024-02-09
471,1041,321,01:21:58,2023-07-12
472,75,184,09:31:03,2023-04-19
473,8690,136,23:39:51,2023-11-19
474,4597,44,10:54:28,2023-06-08
475,2669,450,15:46:04,2024-10-27
476,2114,397,03:05:51,2024-12-14
477,678,425,07:00:51,2023-02-11
478,6671,458,05:40:36,2023-02-05
479,1273,59,23:59:59,2023-12-03
480,5251,235,17:39:24,2024-05-24
481,7976,185,01:22:23,2024-03-25
482,3572,234,05:00:22,2023-06-20
483,3654,347,01:04:18,2024-05-08
484,7635,492,05:21:27,2023-01-24
485,756,228,21:18:31,2024-09-03
486,3529,25,05:17:59,2023-04-09
487,6625,261,20:48:24,2024-10-16
488,6203,235,03:46:27,2023-05-26
489,9007,84,23:08:27,2023-12-13
490,3412,307,15:36:08,2023-12-08
491,6430,318,22:34:59,2023-04-21
492,8755,254,16:27:27,2024-08-23
493,2501,463,15:23:19,2024-01-09
494,6833,388,22:06:15,2023-02-04
495,1780,270,16:48:17,2023-01-28
496,3644,199,16:47:09,2023-05-04
497,616,30,05:06:15,2024-07-11
498,7351,391,14:42:07,2024-10-29
499,7656,392,22:25:40,2024-01-06
500,4024,251,03:29:36,2023-03-13
501,875,132,00:05:12,2024-11-26
502,2711,258,05:33:20,2023-09-28
503,3900,202,02:16:27,2024-08-29
504,314,271,02:43:02,2023-12-30
505,3066,44,16:33:29,2023-12-25
506,9538,437,22:36:18,2024-11-06
507,6750,284,14:14:49,2023-04-27
508,4306,13,11:38:19,2023-12-27
509,5641,364,07:34:41,2024-03-24
510,5916,391,10:38:33,2024-10-01
511,6760,234,13:36:40,2023-02-01
512,9936,320,04:40:42,2024-06-08
513,2812,83,03:09:35,2024-01-25
514,3133,350,18:29:58,2024-02-22
515,4690,331,18:57:12,2023-10-07
516,5386,243,03:12:30,2023-10-19
517,7277,185,18:15:44,2024-07-17
518,8117,494,00:00:09,2023-12-21
519,4118,197,09:26:26,2024-11-25
520,6969,331,16:18:29,2023-12-04
521,2521,299,19:58:45,2023-05-24
522,1929,394,21:30:13,2023-12-14
523,6366,24,11:29:51,2023-08-03
524,6030,346,13:37:04,2023-09-01
525,6762,102,20:10:21,2023-07-20
526,6219,54,06:16:05,2023-01-26
527,2706,451,21:34:09,2023-08-02
528,6746,44,16:53:20,2024-07-09
529,7041,162,17:05:00,2023-04-04
530,5598,249,18:23:39,2024-10-19
531,5085,49,18:29:38,2023-07-25
532,4736,199,17:54:34,2024-12-05
533,5329,320,23:15:38,2023-09-06
534,5251,470,15:02:28,2024-08-26
535,2973,242,22:27:33,2024-12-31
536,8698,314,20:45:01,2024-05-04
537,762,419,16:34:52,2024-08-05
538,3182,313,13:47:52,2024-10-12
539,5589,292,12:58:16,2023-05-29
540,7865,132,09:49:27,2024-12-29
541,7732,126,06:48:03,2024-04-27
542,8004,105,10:32:10,2023-09-04
543,4273,307,18:24:18,2024-01-22
544,9117,472,14:59:03,2024-08-03
545,6069,133,15:42:56,2023-03-28
546,3565,356,00:39:21,2024-08-08
547,4366,43,04:14:05,2023-05-13
548,4105,109,10:27:11,2024-09-09
549,914,243,23:33:46,2024-09-16
550,6902,197,16:39:35,2023-01-10
551,2227,136,14:33:01,2024-06-10
552,7109,123,03:56:57,2023-01-27
553,6611,23,11:30:48,2023-03-21
554,8845,465,06:55:56,2023-09-22
555,1205,307,11:55:50,2024-04-03
556,1701,345,19:17:32,2024-03-12
557,1990,270,17:43:11,2023-06-27
558,8737,276,18:11:06,2023-08-27
559,4746,460,05:54:46,2024-03-14
560,1980,282,05:32:41,2024-08-23
561,6005,122,02:05:12,2023-10-19
562,9317,122,03:12:10,2023-01-28
563,1499,59,18:25:30,2023-11-22
564,1375,271,07:06:56,2023-02-27
565,8075,292,16:52:09,2024-04-16
566,7559,493,16:06:14,2023-04-18
567,6711,138,13:06:57,2024-12-24
568,8230,145,11:58:53,2023-01-04
569,947,350,20:14:33,2023-06-28
570,6614,350,11:07:26,2024-05-22
571,9799,213,20:33:53,2024-05-13
572,2748,441,11:32:34,2023-12-04
573,3242,230,15:16:10,2023-03-28
574,8543,66,08:45:43,2024-07-02
575,667,71,15:59:05,2024-12-12
576,6670,245,13:29:36,2024-07-05
577,9713,399,22:21:34,2023-03-17
578,97,71,19:39:15,2023-09-08
579,4120,122,12:11:10,2023-01-21
580,4057,398,10:24:48,2024-01-22
581,9628,18,09:11:10,2024-05-26
582,8991,29,00:54:33,2024-06-30
583,9881,136,02:44:53,2023-01-22
584,390,244,08:50:17,2024-01-08
585,5580,349,01:14:58,2023-10-08
586,5780,95,12:44:40,2023-12-05
587,1904,140,16:13:40,2024-06-12
588,8980,420,18:25:52,2024-01-19
589,2532,267,07:42:01,2023-10-25
590,6191,491,00:32:08,2024-07-03
591,7723,263,21:42:52,2023-03-28
592,1250,388,12:46:23,2024-03-08
593,3448,162,13:32:10,2023-08-10
594,3581,394,08:34:29,2024-10-26
595,9774,304,10:15:39,2023-06-30
596,862,248,00:56:10,2023-08-23
597,9305,30,03:21:18,2024-11-03
598,6639,271,09:18:44,2023-08-09
599,4176,31,13:26:58,2024-02-06
600,5991,102,13:45:35,2023-06-21
601,5546,5,08:06:06,2024-05-18
602,6665,173,12:01:58,2023-12-27
603,7691,223,13:37:21,2023-03-08
604,613,428,18:52:00,2023-08-26
605,7855,477,17:12:46,2024-09-20
606,1403,92,19:14:08,2024-01-14
607,2853,310,06:22:12,2024-10-21
608,1263,39,06:06:29,2023-01-12
609,635,456,12:33:32,2023-11-25
610,8889,493,20:03:30,2024-08-11
611,233,465,15:54:51,2023-02-03
612,4678,107,11:49:08,2023-03-07
613,497,272,15:58:55,2023-11-10
614,4423,379,23:26:22,2023-04-25
615,1411,454,07:01:22,2023-08-27
616,3527,296,05:52:51,2023-03-07
617,6689,97,17:26:19,2023-07-30
618,4260,482,11:58:55,2023-09-09
619,2980,317,13:24:04,2024-10-21
620,1715,67,06:40:30,2024-08-15
621,8726,167,07:08:10,2023-09-23
622,14,119,00:15:17,2023-09-18
623,6764,418,10:45:20,2023-06-06
624,8975,407,17:52:19,2023-05-10
625,3291,98,03:06:43,2024-04-04
626,9619,454,21:25:21,2024-11-12
627,9990,376,08:34:16,2023-05-23
628,960,8,01:13:28,2023-05-24
629,799,183,17:32:18,2024-10-24
630,3810,156,06:05:24,2024-06-12
631,8920,263,07:22:49,2023-05-30
632,4056,221,03:48:57,2023-10-13
633,5058,76,04:53:03,2023-03-14
634,6719,17,04:23:01,2023-10-19
635,8748,86,18:39:14,2024-11-04
636,2899,425,02:42:59,2023-12-29
637,8624,103,17:42:44,2023-09-12
638,5643,73,18:32:58,2024-03-01
639,5789,118,01:38:12,2023-05-15
640,4825,325,13:50:59,2023-03-24
641,1577,380,14:57:20,2023-08-29
642,4905,151,07:32:23,2023-09-09
643,9342,138,01:32:14,2024-12-18
644,6508,66,12:31:40,2024-07-02
645,8400,450,01:05:08,2023-09-05
646,9064,62,16:53:28,2024-12-17
647,2386,221,14:43:32,2023-05-14
648,9284,475,06:49:54,2024-08-27
649,7432,170,03:09:20,2024-06-22
650,9989,143,22:14:15,2023-03-04
651,7367,391,17:36:15,2023-05-06
652,7138,438,21:30:46,2023-07-26
653,5176,37,01:35:59,2023-10-31
654,8215,148,02:58:13,2023-05-14
655,7626,85,17:14:16,2024-07-06
656,501,347,10:22:08,2023-04-12
657,5107,188,03:46:25,2023-02-18
658,6463,406,14:26:24,2024-12-08
659,3585,409,16:22:10,2024-04-25
660,3632,266,00:22:59,2023-10-28
661,4673,8,10:18:06,2023-02-08
662,8754,177,17:46:56,2024-12-10
663,2979,199,22:09:32,2023-06-17
664,6757,179,06:21:17,2024-06-21
665,5069,387,17:45:00,2023-09-07
666,5384,328,14:18:05,2023-10-07
667,6428,290,11:14:15,2024-06-15
668,875,165,03:41:27,2023-12-17
669,2029,64,17:58:52,2024-03-30
670,4804,441,16:02:27,2024-11-18
671,3372,487,00:59:15,2023-10-04
672,4023,467,09:10:33,2024-05-26
673,6014,362,00:23:38,2024-03-05
674,7732,356,23:05:26,2023-10-05
675,88,281,05:00:10,2024-03-19
676,5687,453,11:22:19,2023-05-21
677,4190,268,18:19:50,2024-09-28
678,8443,331,16:54:39,2023-03-23
679,9575,447,10:52:26,2024-05-26
680,6460,498,17:59:10,2023-09-27
681,3549,131,23:03:17,2024-12-13
682,2180,90,17:18:21,2023-09-10
683,2001,34,10:22:51,2023-11-12
684,7184,356,06:18:47,2024-03-01
685,6015,44,23:58:41,2023-09-23
686,23,149,14:05:12,2023-01-21
687,4643,185,13:33:01,2024-06-05
688,7764,337,19:17:10,2023-12-27
689,452,341,20:07:29,2023-01-17
690,3835,105,03:13:55,2024-09-23
691,1238,413,02:47:18,2024-07-26
692,2678,233,14:39:57,2024-04-15
693,9416,45,15:37:03,2023-04-24
694,470,107,17:43:45,2024-05-31
695,6636,496,10:47:06,2024-04-01
696,5344,480,03:43:55,2024-07-09
697,8340,453,08:16:24,2024-08-04
698,4897,397,23:20:00,2024-02-06
699,248,321,07:55:48,2023-03-02
700,2421,304,14:42:41,2024-05-24
