order_id,customer_id,restaurant_id,order_date,status,total_amount,payment_method
78,474,96,2023-12-28,Pending,1800.12,UPI
79,764,481,2024-04-03,Pending,450.24,Credit Card
80,909,400,2024-11-06,Cancelled,1022.49,Credit Card
81,962,18,2023-09-21,Delivered,991.83,UPI
82,638,245,2024-06-02,Pending,763.95,Cash
83,415,122,2023-11-12,Delivered,1790.46,Cash
84,408,356,2023-03-21,Pending,665.44,Credit Card
85,537,71,2024-08-12,Pending,891.66,UPI
86,134,252,2023-07-11,Delivered,505.43,Credit Card
87,339,430,2024-12-03,Delivered,1393.75,Credit Card
88,203,264,2024-11-28,Cancelled,1836.41,Cash
89,662,376,2023-03-13,Pending,1989.38,UPI
90,123,395,2024-08-25,Delivered,388.02,UPI
91,978,361,2023-05-30,Delivered,1780.91,Cash
92,335,106,2023-02-28,Cancelled,273.28,Credit Card
93,182,214,2023-12-27,Delivered,1258.5,Credit Card
94,531,50,2023-11-08,Delivered,1173.86,Credit Card
95,384,339,2023-10-25,Cancelled,110.58,UPI
96,739,405,2024-01-04,Pending,990.42,Cash
97,860,54,2024-11-13,Cancelled,1088.41,Credit Card
98,784,173,2024-04-18,Delivered,1054.73,UPI
99,636,473,2024-04-16,Cancelled,1350.6,Cash
100,94,182,2023-01-18,Cancelled,552.54,UPI
101,910,50,2023-05-25,Pending,1681.97,Cash
102,63,232,2023-02-06,Delivered,201.49,Credit Card
103,318,321,2024-01-23,Cancelled,458.71,Credit Card
104,198,341,2023-01-19,Delivered,1381.03,Credit Card
105,897,320,2023-02-11,Cancelled,1177.86,Cash
106,515,100,2023-12-10,Pending,908.26,Credit Card
107,595,53,2023-10-02,Pending,278.96,Credit Card
108,786,257,2024-10-25,Delivered,331.78,Cash
109,177,248,2024-10-25,Cancelled,1300.18,Credit Card
110,733,215,2023-01-18,Cancelled,1800.1,Cash
111,656,497,2024-11-18,Delivered,1401.11,Credit Card
112,46,169,2024-11-19,Cancelled,112.09,UPI
113,8,468,2023-10-09,Delivered,148.37,Cash
114,167,70,2024-02-01,Delivered,1827.62,Cash
115,119,147,2023-06-23,Cancelled,297.87,Credit Card
116,758,341,2024-11-23,Cancelled,769.33,Credit Card
117,573,41,2023-08-08,Cancelled,370.68,Cash
118,852,439,2023-07-01,Cancelled,1585.65,UPI
119,955,413,2024-06-24,Delivered,1428.83,Credit Card
120,126,258,2024-11-20,Pending,815.77,Cash
121,100,202,2023-10-29,Pending,1571.02,UPI
122,44,382,2023-10-16,Cancelled,1882.73,Cash
123,279,232,2023-04-29,Cancelled,350.02,Cash
124,794,311,2023-12-15,Pending,734.97,Credit Card
125,965,2,2023-07-11,Cancelled,1429.47,Credit Card
126,581,274,2023-03-05,Cancelled,759.94,UPI
127,851,331,2024-12-24,Delivered,1361.17,Credit Card
128,801,301,2024-12-19,Pending,754.8,Cash
129,919,297,2023-06-21,Delivered,373.79,Cash
130,52,188,2023-03-13,Delivered,1412.21,Cash
131,574,74,2023-06-10,Pending,566.12,Credit Card
132,676,78,2023-03-11,Cancelled,975.48,Credit Card
133,685,103,2023-03-17,Delivered,1848.21,UPI
134,547,369,2024-09-02,Cancelled,1363.81,Cash
135,544,340,2024-12-07,Cancelled,182.3,Credit Card
136,841,238,2023-03-18,Cancelled,1879.72,Credit Card
137,814,458,2024-10-21,Delivered,399.44,Credit Card
138,242,405,2023-05-01,Delivered,307.99,Credit Card
139,900,101,2024-09-17,Delivered,995.65,Credit Card
140,129,497,2024-06-26,Cancelled,393.64,Credit Card
141,21,41,2024-08-24,Cancelled,1837.18,UPI
142,288,24,2023-03-13,Pending,251.15,Credit Card
143,539,220,2024-07-31,Pending,709.57,Credit Card
144,889,417,2024-03-13,Delivered,534.38,Cash
145,232,53,2023-02-26,Cancelled,1982.92,Credit Card
146,226,65,2024-07-25,Delivered,1037.78,UPI
147,601,14,2023-08-23,Delivered,1509.48,Credit Card
148,719,19,2023-05-15,Delivered,1936.13,UPI
149,55,434,2023-12-13,Pending,850.27,Cash
150,877,273,2024-08-05,Delivered,1188.59,Credit Card
151,452,488,2023-10-19,Delivered,942.14,UPI
152,328,417,2024-08-03,Pending,955.33,Credit Card
153,646,190,2024-08-08,Cancelled,202.5,UPI
154,701,165,2024-10-28,Cancelled,916.84,UPI
155,542,169,2024-06-08,Pending,870.6,UPI
156,150,234,2024-03-23,Pending,1630.74,UPI
157,788,408,2023-09-03,Cancelled,414.63,Cash
158,821,183,2023-08-15,Cancelled,1676.12,UPI
159,78,463,2023-02-17,Pending,1007.35,Cash
160,493,246,2024-06-01,Delivered,189.96,Credit Card
161,509,444,2024-03-06,Cancelled,1482.94,UPI
162,979,290,2023-05-15,Delivered,410.66,Credit Card
163,659,383,2024-07-31,Cancelled,1599.72,UPI
164,580,177,2023-06-07,Cancelled,1433.54,UPI
165,667,456,2024-12-30,Delivered,957.76,Credit Card
166,251,77,2024-03-11,Cancelled,1077.49,Credit Card
167,738,58,2024-02-01,Cancelled,290.49,Cash
168,235,155,2023-08-17,Delivered,309.24,UPI
169,500,391,2023-10-14,Cancelled,1104.81,UPI
170,129,325,2023-12-19,Pending,1386.0,Cash
171,333,115,2023-08-15,Pending,217.64,Cash
172,514,203,2024-09-14,Delivered,285.57,Cash
173,585,102,2024-01-01,Cancelled,404.6,Credit Card
174,486,341,2023-09-25,Cancelled,140.99,Credit Card
175,33,491,2023-04-15,Pending,1325.98,Cash
176,96,437,2024-02-03,Pending,1064.38,Credit Card
177,892,396,2023-07-11,Pending,205.54,UPI
178,393,83,2023-10-05,Delivered,349.98,Credit Card
179,583,298,2024-05-02,Delivered,824.58,UPI
180,438,191,2023-11-26,Pending,463.11,Credit Card
181,293,146,2023-06-01,Cancelled,268.77,UPI
182,255,146,2024-04-18,Pending,705.83,Cash
183,200,432,2023-02-18,Pending,1493.66,UPI
184,150,15,2023-09-17,Delivered,1670.07,UPI
185,156,142,2023-02-28,Pending,680.9,Cash
186,109,24,2024-08-03,Delivered,848.85,UPI
187,254,252,2024-06-19,Delivered,617.29,Cash
188,340,408,2024-03-25,Delivered,104.64,Cash
189,804,294,2024-09-26,Cancelled,1214.94,UPI
190,290,294,2023-03-27,Delivered,110.57,Credit Card
191,362,354,2023-02-21,Pending,1620.83,UPI
192,1000,361,2024-06-09,Pending,605.8,UPI
193,633,141,2023-12-01,Pending,1348.65,Cash
194,201,361,2023-09-25,Pending,1176.28,Credit Card
195,440,140,2024-05-28,Pending,1402.73,Credit Card
196,155,197,2024-01-09,Delivered,1927.32,Credit Card
197,259,84,2024-12-21,Cancelled,1585.93,UPI
198,664,155,2023-03-31,Delivered,1273.45,UPI
199,372,380,2024-12-11,Pending,802.98,Cash
200,4,98,2023-10-17,Pending,1807.27,Credit Card
201,600,72,2023-11-15,Pending,167.53,UPI
202,435,496,2023-08-15,Pending,1875.6,Credit Card
203,456,397,2023-01-13,Cancelled,1378.13,Credit Card
204,881,122,2023-07-21,Delivered,965.72,Credit Card
205,21,151,2024-07-31,Cancelled,1380.8,UPI
206,390,234,2024-01-28,Cancelled,1373.95,Cash
207,451,341,2023-05-12,Pending,596.02,UPI
208,132,480,2023-12-08,Delivered,1238.2,Credit Card
209,301,375,2023-05-02,Cancelled,1564.83,UPI
210,807,354,2024-11-06,Cancelled,1098.52,Cash
211,548,29,2023-05-13,Pending,1602.28,Cash
212,529,78,2024-05-10,Delivered,1625.37,Cash
213,790,277,2023-06-05,Pending,683.45,Cash
214,518,476,2024-10-04,Delivered,1694.38,Cash
215,98,144,2023-01-26,Delivered,168.52,Credit Card
216,840,395,2023-03-16,Cancelled,485.16,Credit Card
217,617,70,2023-09-26,Cancelled,879.48,Cash
218,647,136,2024-02-08,Pending,448.9,Cash
219,828,176,2024-07-24,Delivered,163.62,Credit Card
220,637,334,2023-01-25,Cancelled,293.36,UPI
221,516,388,2023-10-18,Cancelled,769.76,UPI
222,746,322,2024-04-10,Delivered,566.01,UPI
223,615,227,2023-09-15,Delivered,550.92,Cash
224,713,370,2024-03-03,Pending,104.51,UPI
225,77,93,2024-06-29,Cancelled,387.66,Credit Card
226,200,327,2024-09-20,Pending,797.49,UPI
227,588,393,2023-09-09,Pending,182.79,Cash
228,740,54,2024-06-23,Pending,1627.85,UPI
229,289,375,2024-05-31,Cancelled,294.92,Credit Card
230,914,257,2024-08-05,Cancelled,1261.51,Credit Card
231,764,147,2023-08-18,Pending,1749.78,UPI
232,60,261,2024-01-02,Delivered,290.4,UPI
233,725,407,2024-11-17,Delivered,1358.94,Credit Card
234,347,284,2024-07-19,Cancelled,1977.23,UPI
235,218,56,2024-10-03,Pending,1672.58,UPI
236,781,319,2024-05-30,Cancelled,1881.55,Cash
237,247,107,2023-03-24,Cancelled,525.77,Cash
238,458,148,2023-07-06,Pending,1733.7,Cash
239,977,68,2024-05-19,Pending,989.25,Cash
240,734,335,2024-08-31,Cancelled,437.78,Cash
241,164,272,2024-06-16,Pending,1529.11,Credit Card
242,233,203,2023-03-25,Delivered,1311.93,Cash
243,709,464,2023-04-09,Pending,1500.85,UPI
244,326,473,2024-11-17,Cancelled,170.4,Cash
245,852,376,2024-08-11,Cancelled,1954.18,Credit Card
246,329,115,2023-03-09,Delivered,1678.09,UPI
247,47,391,2024-10-30,Cancelled,1213.03,UPI
248,856,136,2024-06-30,Delivered,908.86,UPI
249,940,300,2023-01-31,Pending,649.23,UPI
250,554,135,2024-08-23,Delivered,1467.81,Credit Card
251,352,1,2023-12-12,Pending,1893.51,UPI
252,120,142,2023-11-28,Delivered,1805.29,Cash
253,589,226,2024-08-03,Pending,1139.2,UPI
254,372,291,2024-01-02,Pending,1078.79,UPI
255,482,248,2024-05-19,Cancelled,1369.82,Credit Card
256,764,30,2023-09-12,Cancelled,1670.49,Cash
257,209,455,2023-12-10,Cancelled,822.64,UPI
258,695,450,2023-01-01,Cancelled,615.94,Credit Card
259,818,265,2023-12-01,Pending,1442.61,UPI
260,567,295,2024-10-25,Pending,912.99,UPI
261,202,395,2023-04-15,Delivered,366.1,UPI
262,444,431,2023-09-10,Delivered,939.35,Cash
263,603,324,2023-12-27,Pending,803.98,UPI
264,411,355,2024-04-28,Cancelled,1498.46,Credit Card
265,757,422,2023-06-10,Cancelled,904.17,Cash
266,668,121,2023-09-13,Cancelled,956.19,Cash
267,859,224,2024-09-15,Cancelled,987.01,Cash
268,910,78,2023-05-18,Cancelled,693.49,Credit Card
269,561,75,2024-06-16,Delivered,1431.89,UPI
270,842,329,2024-10-02,Pending,1166.91,UPI
271,857,406,2024-03-02,Cancelled,667.54,Cash
272,179,449,2023-03-11,Cancelled,279.69,UPI
273,216,127,2024-03-04,Cancelled,736.16,UPI
274,380,420,2024-05-02,Cancelled,344.71,Credit Card
275,169,12,2024-04-15,Cancelled,166.52,Cash
276,284,445,2024-07-02,Cancelled,1634.98,Credit Card
277,850,319,2023-11-18,Pending,598.2,Cash
278,69,386,2023-12-20,Cancelled,1271.5,Cash
279,244,46,2024-12-14,Cancelled,1117.33,Credit Card
280,840,351,2024-05-29,Cancelled,752.07,Credit Card
281,654,341,2024-12-21,Pending,537.89,Credit Card
282,341,169,2024-03-05,Delivered,1629.96,UPI
283,123,136,2024-11-19,Cancelled,970.82,Credit Card
284,935,496,2024-02-04,Delivered,974.54,Credit Card
285,694,68,2024-04-15,Pending,1684.97,Cash
286,790,399,2023-10-05,Pending,1699.8,UPI
287,523,240,2024-02-02,Pending,1220.67,Cash
288,533,202,2024-08-24,Pending,1023.14,Credit Card
289,829,357,2023-08-05,Cancelled,797.39,UPI
290,899,69,2023-03-15,Pending,1992.03,UPI
291,955,80,2023-06-23,Delivered,419.49,Credit Card
292,733,138,2023-05-26,Pending,1160.62,Cash
293,862,400,2023-11-02,Delivered,1144.01,UPI
294,796,210,2023-02-21,Pending,1731.63,UPI
295,374,225,2024-05-24,Cancelled,700.46,UPI
296,962,229,2024-11-26,Pending,1929.87,UPI
297,880,282,2023-12-31,Delivered,1179.92,Cash
298,903,162,2023-10-16,Cancelled,145.02,Credit Card
299,926,193,2023-02-06,Pending,455.67,Credit Card
300,431,398,2023-02-13,Pending,1812.32,Credit Card
301,704,155,2024-06-27,Delivered,1905.83,Cash
302,160,415,2023-07-23,Delivered,1059.05,Credit Card
303,1,231,2023-02-06,Cancelled,1251.87,Credit Card
304,131,252,2024-02-19,Delivered,710.16,UPI
305,65,366,2024-09-18,Pending,1791.99,Credit Card
306,684,486,2023-11-26,Cancelled,309.54,Credit Card
307,727,124,2024-10-06,Delivered,1716.71,Cash
308,696,200,2023-02-18,Delivered,497.56,Credit Card
309,958,342,2023-05-04,Delivered,1260.35,Cash
310,937,144,2024-05-17,Pending,1421.71,Cash
311,884,164,2024-03-09,Pending,1368.19,Cash
312,471,213,2024-10-09,Delivered,1692.94,UPI
313,881,264,2023-08-18,Pending,1208.17,Cash
314,962,199,2023-11-15,Delivered,1942.03,Credit Card
315,633,94,2024-01-02,Delivered,1775.8,Cash
316,116,363,2023-01-29,Pending,1513.6,Credit Card
317,862,229,2023-06-29,Delivered,918.78,UPI
318,111,445,2023-01-25,Pending,513.09,Credit Card
319,588,143,2024-05-08,Pending,1702.02,Credit Card
320,246,438,2024-07-18,Cancelled,816.46,Credit Card
321,696,345,2023-11-13,Pending,869.62,Credit Card
322,850,320,2023-11-21,Delivered,1899.56,UPI
323,356,292,2023-04-16,Pending,1865.06,Credit Card
324,153,50,2024-03-15,Pending,634.11,Cash
325,496,446,2024-04-22,Pending,180.25,Credit Card
326,529,103,2024-06-27,Delivered,246.56,Cash
327,530,365,2024-07-11,Delivered,1353.49,Credit Card
328,754,405,2024-05-07,Pending,394.11,UPI
329,151,310,2024-02-06,Pending,1072.66,Cash
330,480,209,2024-03-07,Pending,268.16,Credit Card
331,562,28,2023-07-10,Pending,737.81,Credit Card
332,697,423,2023-04-08,Cancelled,181.09,Credit Card
333,474,492,2023-05-30,Delivered,824.19,Credit Card
334,811,381,2023-02-03,Delivered,1699.86,UPI
335,65,355,2024-01-31,Delivered,599.46,Credit Card
336,408,232,2024-12-14,Cancelled,1684.13,Credit Card
337,791,340,2023-03-21,Pending,1671.72,Cash
338,432,56,2024-03-02,Pending,323.26,Cash
339,21,28,2024-02-17,Pending,537.92,UPI
340,858,469,2024-05-12,Pending,733.63,Credit Card
341,395,459,2023-01-19,Cancelled,791.71,Credit Card
342,584,441,2023-07-26,Cancelled,1320.57,Credit Card
343,398,250,2023-06-24,Delivered,1292.34,UPI
344,988,403,2024-03-23,Cancelled,120.77,UPI
345,180,62,2023-05-09,Delivered,995.86,Cash
346,598,76,2023-02-22,Pending,732.66,UPI
347,384,249,2024-08-11,Pending,1871.0,Credit Card
348,574,2,2023-01-11,Pending,820.34,Credit Card
349,452,75,2023-01-29,Cancelled,1503.34,Cash
350,252,105,2024-10-28,Pending,543.11,UPI
351,812,117,2024-12-20,Delivered,525.4,Credit Card
352,385,391,2024-09-17,Delivered,1703.17,Credit Card
353,700,456,2023-07-13,Pending,1138.78,Credit Card
354,485,495,2024-07-27,Delivered,1542.41,Credit Card
355,339,368,2023-01-14,Delivered,655.34,Cash
356,268,463,2023-01-06,Cancelled,1212.2,Credit Card
357,841,304,2023-12-03,Cancelled,1205.88,Credit Card
358,337,243,2024-08-22,Delivered,212.03,Cash
359,139,259,2024-11-29,Cancelled,593.59,Credit Card
360,172,258,2024-04-10,Pending,1926.15,UPI
361,315,427,2024-03-16,Pending,1791.1,Cash
362,694,377,2023-05-19,Pending,265.92,Cash
363,660,296,2023-07-25,Delivered,1591.31,Cash
364,59,241,2024-11-04,Pending,1931.89,UPI
365,703,424,2024-10-24,Pending,679.04,UPI
366,846,114,2024-12-12,Delivered,1950.75,Cash
367,873,69,2024-06-14,Cancelled,859.45,Cash
368,213,314,2024-09-11,Pending,560.5,UPI
369,979,316,2023-11-15,Pending,211.49,Cash
370,40,374,2023-10-27,Pending,1225.08,Credit Card
371,562,366,2024-08-15,Delivered,1792.96,Cash
372,695,244,2024-02-12,Pending,1086.11,Cash
373,982,494,2024-04-19,Pending,137.68,Credit Card
374,934,185,2023-06-16,Cancelled,427.4,UPI
375,153,377,2024-09-16,Cancelled,1151.97,UPI
376,238,42,2024-06-09,Cancelled,1571.48,Cash
377,287,219,2024-12-27,Delivered,1758.4,Cash
378,924,89,2023-01-30,Cancelled,966.64,Credit Card
379,203,394,2024-02-27,Pending,1267.84,Cash
380,734,40,2023-10-13,Pending,158.14,UPI
381,58,407,2023-09-23,Cancelled,1841.95,Credit Card
382,853,58,2023-12-29,Cancelled,1982.28,UPI
383,979,121,2023-06-21,Delivered,629.4,Credit Card
384,240,287,2023-12-19,Pending,518.42,Credit Card
385,335,74,2024-08-11,Delivered,758.33,Credit Card
386,607,167,2023-02-15,Delivered,1537.83,Credit Card
387,653,477,2023-08-21,Delivered,1061.46,UPI
388,49,320,2024-03-07,Cancelled,582.01,Credit Card
389,460,257,2023-04-06,Pending,533.4,Cash
390,512,274,2024-08-03,Delivered,1082.34,Cash
391,372,66,2023-06-24,Pending,532.31,UPI
392,381,301,2023-05-31,Pending,621.53,Credit Card
393,653,82,2023-07-27,Pending,353.66,Credit Card
394,669,332,2024-12-14,Pending,543.14,Credit Card
395,30,370,2024-11-02,Delivered,1036.97,Cash
396,684,113,2024-12-20,Delivered,839.07,Credit Card
397,649,61,2023-03-14,Cancelled,1380.98,UPI
398,661,70,2023-06-09,Cancelled,643.61,Cash
399,812,65,2023-03-04,Delivered,1632.1,Cash
400,282,213,2024-12-01,Cancelled,1372.93,Cash
401,81,61,2024-01-02,Cancelled,1508.16,Credit Card
402,63,296,2024-12-09,Delivered,1959.25,Cash
403,522,226,2024-10-23,Pending,1632.68,Credit Card
404,614,336,2024-07-20,Cancelled,1518.17,Cash
405,739,398,2023-05-26,Delivered,1567.52,UPI
406,397,26,2024-11-18,Delivered,1137.16,UPI
407,382,106,2024-10-24,Pending,1991.17,Cash
408,275,243,2023-03-08,Cancelled,1643.37,Credit Card
409,140,419,2024-01-08,Pending,1961.17,Credit Card
410,739,115,2024-08-27,Pending,242.73,Credit Card
411,413,84,2024-04-22,Pending,343.27,UPI
412,583,48,2023-11-30,Delivered,1453.15,Credit Card
413,815,500,2024-09-09,Pending,1181.9,UPI
414,598,202,2023-02-05,Pending,933.75,Credit Card
415,388,396,2024-01-21,Pending,1872.74,Credit Card
416,405,154,2024-07-26,Delivered,1286.54,UPI
417,681,224,2024-03-08,Delivered,815.72,Cash
418,463,442,2023-10-16,Cancelled,615.47,Cash
419,850,248,2023-06-10,Delivered,1870.78,Cash
420,423,6,2023-10-20,Pending,1677.67,UPI
421,211,317,2023-03-03,Delivered,1510.63,Credit Card
422,997,281,2023-07-02,Pending,1102.76,Cash
423,587,418,2023-03-22,Pending,1049.42,UPI
424,976,310,2024-09-14,Delivered,1322.06,UPI
425,584,478,2023-02-06,Cancelled,100.03,Cash
426,432,99,2024-12-11,Delivered,880.86,Credit Card
427,144,399,2023-10-18,Pending,850.22,Credit Card
428,986,6,2024-06-05,Cancelled,1467.55,UPI
429,976,336,2024-12-03,Pending,1887.58,Credit Card
430,344,410,2024-07-07,Pending,569.92,UPI
431,517,346,2023-08-01,Cancelled,848.34,Credit Card
432,232,6,2023-08-05,Delivered,733.91,Cash
433,565,350,2024-04-20,Pending,941.15,Credit Card
434,350,445,2023-11-11,Pending,1234.51,Credit Card
435,356,65,2024-05-22,Delivered,1016.7,Credit Card
436,734,296,2023-09-07,Cancelled,1731.74,Credit Card
437,793,377,2024-07-26,Pending,693.6,UPI
438,83,435,2024-06-02,Cancelled,1466.58,Cash
439,711,142,2023-04-19,Pending,451.93,UPI
440,212,34,2023-11-02,Cancelled,180.63,Cash
441,253,244,2024-03-01,Pending,1242.36,Credit Card
442,862,39,2024-08-21,Pending,1414.86,UPI
443,631,456,2024-08-28,Pending,1166.03,Credit Card
444,577,327,2023-07-01,Pending,316.31,UPI
445,126,275,2024-11-20,Cancelled,1470.57,Credit Card
446,519,216,2024-04-23,Pending,1935.81,Credit Card
447,186,304,2023-09-10,Delivered,1732.54,Cash
448,521,316,2023-02-24,Pending,1630.81,UPI
449,75,48,2023-07-16,Delivered,1589.13,Credit Card
450,958,491,2023-09-04,Pending,924.44,UPI
451,653,408,2023-04-01,Delivered,1716.42,UPI
452,130,425,2024-05-30,Delivered,664.44,Cash
453,958,457,2023-11-15,Cancelled,1215.96,UPI
454,544,327,2024-08-24,Pending,1633.62,Cash
455,622,493,2023-04-23,Pending,431.79,Credit Card
456,321,307,2024-02-13,Pending,1862.45,Credit Card
457,254,460,2023-06-26,Delivered,497.56,UPI
458,342,116,2023-01-11,Pending,1045.19,Credit Card
459,479,456,2024-08-22,Delivered,633.12,Cash
460,794,428,2023-12-11,Cancelled,1620.84,UPI
461,904,142,2023-11-14,Delivered,679.67,Cash
462,12,147,2023-09-01,Delivered,1697.82,UPI
463,503,331,2024-05-03,Delivered,293.37,Cash
464,632,135,2024-05-31,Pending,1360.5,Credit Card
465,342,364,2023-07-01,Cancelled,1809.51,Credit Card
466,79,88,2023-05-01,Cancelled,1973.71,Cash
467,956,423,2024-03-11,Cancelled,318.99,Cash
468,812,393,2024-10-21,Pending,449.73,UPI
469,12,478,2023-10-30,Cancelled,902.29,UPI
470,935,249,2024-07-31,Delivered,1314.15,UPI
471,865,51,2023-10-20,Delivered,1591.22,Cash
472,576,311,2023-06-23,Pending,220.92,Cash
473,201,296,2024-06-25,Delivered,1549.82,UPI
474,63,318,2023-08-26,Cancelled,903.5,UPI
475,942,301,2023-05-10,Pending,1702.34,Cash
476,115,208,2024-02-01,Cancelled,1594.35,UPI
477,773,192,2024-10-09,Delivered,236.0,Credit Card
478,447,178,2024-04-10,Pending,368.2,UPI
479,539,265,2024-08-26,Pending,1192.94,UPI
480,679,63,2023-11-30,Cancelled,107.79,Credit Card
481,793,311,2024-05-30,Delivered,398.97,UPI
482,767,173,2024-10-31,Delivered,1685.89,Credit Card
483,444,99,2023-02-10,Cancelled,869.87,Cash
484,294,369,2024-12-07,Delivered,1009.59,UPI
485,803,145,2023-06-19,Cancelled,1315.95,Credit Card
486,338,313,2024-12-15,Pending,223.82,UPI
487,638,48,2023-09-05,Cancelled,1647.27,Cash
488,196,90,2024-09-06,Pending,852.67,Credit Card
489,45,324,2023-01-19,Cancelled,1107.16,UPI
490,832,161,2023-03-08,Cancelled,197.81,UPI
491,655,194,2024-02-21,Delivered,1131.09,Cash
492,515,103,2024-01-08,Cancelled,1064.02,Credit Card
493,236,209,2024-06-21,Cancelled,1005.14,UPI
494,726,457,2023-07-26,Cancelled,456.76,Credit Card
495,697,216,2023-10-22,Pending,1379.54,Cash
496,928,154,2023-03-06,Delivered,683.86,Cash
497,117,325,2024-08-05,Pending,1844.51,UPI
498,347,492,2023-04-15,Cancelled,136.15,Credit Card
499,512,65,2023-01-24,Delivered,276.49,Credit Card
500,365,234,2023-05-11,Cancelled,262.62,Credit Card
501,357,50,2023-11-14,Cancelled,1527.31,Cash
502,858,25,2024-07-26,Delivered,209.78,UPI
503,779,252,2023-05-19,Delivered,1764.39,UPI
504,653,309,2024-09-24,Cancelled,729.09,Credit Card
505,403,410,2024-11-06,Cancelled,411.64,Credit Card
506,504,294,2024-05-09,Cancelled,1848.36,UPI
507,308,144,2023-10-25,Cancelled,597.63,Cash
508,820,67,2024-01-30,Cancelled,142.99,Cash
509,597,338,2024-05-19,Delivered,396.97,Cash
510,646,222,2023-05-18,Pending,1995.36,Credit Card
511,598,308,2024-02-05,Delivered,1776.22,Cash
